Q1_Vehicle_Year,Q2_Vehicle_Brand,Q3_Aesthetic_Style,Q4_Friction_Wobble,Q4_Friction_Aesthetic,Q4_Friction_Block,Q4_Friction_Degradation,Q5_Rattle_Severity_Scale,Q6_Module_MagSafe,Q6_Module_BeverageLock,Q6_Module_BagHook,Q6_Module_Telemetry,Q6_Module_Tray,Q7_Primary_Concern,Q8_Price_Too_Cheap,Q9_Price_Bargain,Q10_Price_Expensive,Q11_Price_Too_Expensive,Q12_Reserve_Slot_Intent,Q13_Vehicle_Text,Segment
2026,Porsche,The Purist,1,1,1,0,5,1,0,1,1,1,The Footprint,64,171,380,405,1,Porsche Cayman 718 GT4,Tech_Purist
2017,Hyundai,The Enthusiast/Builder,1,1,0,1,3,0,1,0,1,1,The Footprint,40,66,134,154,0,Hyundai Verna,Practical_Upgrader
2024,BMW,The Enthusiast/Builder,0,0,0,1,4,0,0,0,1,0,The Rigidity,124,228,413,443,1,BMW 5 Series xDrive,Elite_Enthusiast
2023,BMW,The Enthusiast/Builder,1,1,0,1,3,1,1,1,1,0,The Footprint,85,176,206,700,1,BMW X5 M,Elite_Enthusiast
2023,Audi,The Enthusiast/Builder,0,1,1,1,4,1,0,0,1,1,The Rigidity,89,178,251,299,1,Audi Q8 e-tron,Elite_Enthusiast
2023,Jeep,The Enthusiast/Builder,1,1,0,0,4,1,1,1,0,1,The Interaction,44,118,253,316,1,Jeep Grand Cherokee L,Family_WorkMom
2025,Tesla,The Functionalist,0,0,1,0,4,0,1,1,1,0,The Rigidity,61,97,238,500,0,Tesla Model Y Performance,Family_WorkMom
2026,Jeep,The Functionalist,0,0,1,1,3,0,1,1,0,1,The Interaction,69,145,222,247,0,Jeep Grand Cherokee L,Family_WorkMom
2020,Kia,The Functionalist,0,0,0,1,5,0,1,0,0,1,The Rigidity,24,69,99,169,0,Kia EV6,Practical_Upgrader
2021,Jeep,The Purist,0,1,1,1,3,1,1,1,0,0,The Footprint,98,141,311,336,0,Jeep Wrangler Rubicon 4xe,Family_WorkMom
2021,Tesla,The Purist,1,0,1,1,5,1,1,1,1,1,The Rigidity,41,107,151,500,1,Tesla Model Y Performance,Family_WorkMom
2023,Mercedes-Benz,The Functionalist,0,1,0,1,1,1,1,1,0,1,The Rigidity,71,131,308,333,0,Mercedes EQS 580,Family_WorkMom
2021,Porsche,The Enthusiast/Builder,1,1,0,0,4,1,0,0,1,0,The Interaction,107,127,298,406,1,Porsche 911 Carrera S,Elite_Enthusiast
2015,Toyota,The Enthusiast/Builder,0,0,0,1,3,1,0,1,1,1,The Dash Fit,40,64,148,168,0,Toyota Corolla Cross,Practical_Upgrader
2022,Porsche,The Enthusiast/Builder,1,0,0,0,4,1,0,0,0,1,The Dash Fit,111,172,202,338,1,Porsche 911 Carrera S,Elite_Enthusiast
2016,Honda,The Functionalist,0,0,0,1,3,1,0,1,0,0,The Dash Fit,31,84,114,134,0,Honda City ZX,Practical_Upgrader
2022,Audi,The Enthusiast/Builder,1,1,1,0,3,0,1,0,0,1,The Rigidity,63,240,265,330,0,Audi Q8 e-tron,Tech_Purist
2021,BMW,The Enthusiast/Builder,1,1,0,0,4,1,1,1,1,1,The Rigidity,104,206,260,518,1,BMW M3 Competition,Elite_Enthusiast
2019,Porsche,The Enthusiast/Builder,1,1,0,1,5,1,0,1,1,0,The Rigidity,81,203,314,515,1,Porsche Cayman 718 GT4,Elite_Enthusiast
2014,Maruti Suzuki,The Functionalist,0,0,0,1,4,1,1,1,1,1,The Interaction,26,47,132,152,0,Maruti Brezza ZXI,Practical_Upgrader
2026,Porsche,The Purist,1,0,0,0,5,0,1,0,0,0,The Footprint,72,122,320,345,1,Porsche Macan GTS,Tech_Purist
2023,Porsche,The Enthusiast/Builder,1,1,0,0,3,1,0,0,1,0,The Rigidity,64,169,347,372,1,Porsche Taycan Turbo,Tech_Purist
2023,Tesla,The Functionalist,0,1,0,0,4,1,0,0,0,0,The Rigidity,120,147,178,407,1,Tesla Model S Plaid,Tech_Purist
2024,BMW,The Enthusiast/Builder,1,1,0,1,4,1,0,0,1,1,The Rigidity,80,186,295,455,1,BMW M4 CSL,Elite_Enthusiast
2020,Other,The Functionalist,1,1,1,1,3,0,1,1,0,0,The Dash Fit,39,155,175,202,0,Skoda Kushaq,Family_WorkMom
2026,Mercedes-Benz,The Functionalist,1,1,0,1,4,1,1,0,1,1,The Dash Fit,100,265,295,550,1,Mercedes AMG C63,Elite_Enthusiast
2020,Toyota,The Purist,0,0,0,1,3,1,1,0,0,1,The Dash Fit,45,77,92,112,0,Toyota Camry SE,Practical_Upgrader
2021,Tesla,The Enthusiast/Builder,0,1,1,1,2,1,0,0,1,1,The Interaction,40,124,348,373,0,Tesla Model 3 Long Range,Tech_Purist
2021,Jeep,The Functionalist,1,0,1,1,3,1,1,1,0,1,The Interaction,69,84,207,382,0,Jeep Gladiator Mojave,Family_WorkMom
2025,Ford,The Enthusiast/Builder,1,1,0,0,3,1,0,0,0,1,The Rigidity,73,172,263,550,1,Ford Bronco Wildtrak,Elite_Enthusiast
2025,Jeep,The Purist,0,1,1,0,4,1,1,1,0,1,The Dash Fit,59,112,320,376,0,Jeep Grand Cherokee L,Family_WorkMom
2022,Jeep,The Purist,0,1,1,1,4,1,1,1,0,1,The Footprint,42,106,195,307,1,Jeep Wrangler Rubicon 4xe,Family_WorkMom
2024,Tesla,The Purist,0,1,1,0,5,1,0,1,1,1,The Interaction,142,162,187,310,1,Tesla Model X,Tech_Purist
2022,Audi,The Purist,1,1,0,1,4,0,0,0,1,0,The Footprint,40,121,146,281,1,Audi RS6 Avant,Tech_Purist
2023,Maruti Suzuki,The Functionalist,0,0,1,1,1,1,1,1,0,1,The Dash Fit,20,67,99,162,0,Maruti Swift ZXI,Practical_Upgrader
2020,Land Rover,The Functionalist,0,1,1,1,5,1,0,1,0,1,The Footprint,52,67,239,500,1,Land Rover Defender 110,Family_WorkMom
2026,Mercedes-Benz,The Enthusiast/Builder,1,1,0,0,5,1,0,1,1,0,The Interaction,101,144,194,339,1,Mercedes GLE 53 AMG,Elite_Enthusiast
2024,Mercedes-Benz,The Functionalist,0,1,1,1,3,1,0,0,0,1,The Footprint,76,185,264,464,0,Mercedes GLE 53 AMG,Tech_Purist
2024,Tesla,The Purist,0,1,0,1,4,1,0,0,0,1,The Footprint,82,156,200,384,1,Tesla Model Y Performance,Tech_Purist
2024,BMW,The Enthusiast/Builder,1,1,1,0,5,1,1,0,1,1,The Dash Fit,51,134,270,580,1,BMW X5 M,Tech_Purist
2022,Tesla,The Purist,0,1,0,0,4,1,1,0,1,0,The Rigidity,45,155,380,458,1,Tesla Model S Plaid,Tech_Purist
2019,Mercedes-Benz,The Purist,0,1,0,1,5,0,1,1,0,0,The Footprint,73,135,315,340,1,Mercedes EQS 580,Family_WorkMom
2020,Jeep,The Enthusiast/Builder,0,0,1,0,2,1,1,1,0,1,The Footprint,33,109,129,459,0,Jeep Gladiator Mojave,Family_WorkMom
2020,BMW,The Functionalist,0,1,0,1,3,1,1,0,1,1,The Interaction,83,98,175,291,1,BMW 5 Series xDrive,Family_WorkMom
2024,Mercedes-Benz,The Enthusiast/Builder,1,1,0,0,4,0,0,0,1,0,The Dash Fit,91,170,353,423,1,Mercedes EQS 580,Elite_Enthusiast
2022,BMW,The Enthusiast/Builder,1,1,1,1,4,1,0,1,1,0,The Footprint,119,187,249,665,1,BMW M4 CSL,Elite_Enthusiast
2020,Ford,The Enthusiast/Builder,1,1,0,1,5,1,1,0,1,0,The Dash Fit,60,159,399,429,1,Ford Raptor R,Elite_Enthusiast
2026,BMW,The Enthusiast/Builder,0,1,1,0,5,1,0,1,0,1,The Interaction,73,158,189,357,1,BMW M4 CSL,Tech_Purist
2025,Tesla,The Enthusiast/Builder,0,0,1,0,3,0,0,1,1,1,The Dash Fit,51,90,320,345,0,Tesla Model S Plaid,Family_WorkMom
2025,BMW,The Functionalist,0,1,0,1,1,0,1,1,0,1,The Dash Fit,77,95,136,309,0,BMW 5 Series xDrive,Family_WorkMom
2023,Kia,The Functionalist,1,0,0,1,4,1,0,0,0,0,The Footprint,40,79,158,300,0,Kia EV6,Practical_Upgrader
2021,BMW,The Enthusiast/Builder,1,1,0,0,5,1,0,0,0,0,The Rigidity,97,134,342,411,1,BMW X5 M,Elite_Enthusiast
2021,Audi,The Purist,1,1,1,1,3,1,1,1,0,1,The Footprint,75,90,320,403,1,Audi RS6 Avant,Family_WorkMom
2025,Mercedes-Benz,The Purist,0,1,0,0,4,1,0,0,0,0,The Footprint,40,108,312,519,0,Mercedes AMG C63,Tech_Purist
2024,Porsche,The Enthusiast/Builder,0,1,0,1,5,1,0,0,1,1,The Footprint,61,203,233,434,1,Porsche 911 Carrera S,Elite_Enthusiast
2021,Other,The Enthusiast/Builder,1,0,1,0,5,1,0,0,1,0,The Rigidity,125,145,190,465,1,Lucid Air Grand Touring,Elite_Enthusiast
2024,Tesla,The Purist,1,0,0,1,4,0,1,1,0,1,The Rigidity,44,137,157,228,0,Tesla Model X,Family_WorkMom
2021,Porsche,The Enthusiast/Builder,1,0,0,1,4,1,0,0,1,0,The Dash Fit,60,172,284,314,1,Porsche 911 Carrera S,Elite_Enthusiast
2016,Toyota,The Purist,1,0,1,1,5,1,0,1,0,1,The Dash Fit,35,82,97,160,1,Toyota RAV4 XLE,Practical_Upgrader
2018,Maruti Suzuki,The Functionalist,1,1,1,1,4,1,1,1,0,1,The Rigidity,35,45,184,204,1,Maruti Baleno Alpha,Practical_Upgrader
2024,Audi,The Purist,1,1,0,0,3,1,0,0,1,0,The Footprint,81,169,234,437,1,Audi A4 S-Line,Tech_Purist
2019,Toyota,The Purist,1,0,1,0,3,1,1,0,0,1,The Dash Fit,35,45,90,123,0,Toyota RAV4 XLE,Practical_Upgrader
2015,Honda,The Purist,0,0,1,0,4,1,1,0,0,1,The Dash Fit,28,40,139,239,0,Honda Amaze,Practical_Upgrader
2025,Audi,The Enthusiast/Builder,1,1,0,0,3,0,0,0,1,0,The Rigidity,120,240,270,368,1,Audi A4 S-Line,Elite_Enthusiast
2016,Toyota,The Functionalist,1,1,0,1,2,0,1,0,0,0,The Interaction,26,73,106,145,0,Toyota Fortuner,Practical_Upgrader
2019,Audi,The Functionalist,1,1,1,1,4,0,1,1,0,1,The Dash Fit,85,126,149,235,1,Audi Q8 e-tron,Family_WorkMom
2022,Kia,The Functionalist,1,0,0,0,3,0,1,0,0,1,The Rigidity,40,82,117,262,0,Kia EV6,Practical_Upgrader
2023,Hyundai,The Functionalist,1,1,0,1,4,1,1,0,0,1,The Dash Fit,54,68,83,103,1,Hyundai Tucson,Practical_Upgrader
2024,Ford,The Functionalist,1,1,1,0,2,0,0,1,0,0,The Footprint,47,143,320,345,0,Ford Raptor R,Family_WorkMom
2025,BMW,The Enthusiast/Builder,0,1,1,1,5,0,0,0,0,0,The Rigidity,127,152,360,570,1,BMW M4 CSL,Elite_Enthusiast
2024,Other,The Purist,0,1,1,0,4,1,0,0,0,0,The Dash Fit,9,144,397,484,1,Lucid Air Grand Touring,Elite_Enthusiast
2022,BMW,The Functionalist,0,0,0,1,1,0,0,1,1,1,The Footprint,35,50,176,291,0,BMW M4 CSL,Family_WorkMom
2015,Hyundai,The Functionalist,0,0,1,1,2,1,1,0,0,1,The Rigidity,25,62,115,1029,0,Hyundai Verna,Practical_Upgrader
2017,Toyota,The Functionalist,0,0,0,1,5,1,0,1,1,1,The Dash Fit,16,40,90,176,1,Toyota Camry SE,Practical_Upgrader
2022,Mercedes-Benz,The Functionalist,1,1,0,0,5,1,0,0,1,1,The Dash Fit,104,188,266,404,1,Mercedes GLE 53 AMG,Elite_Enthusiast
2020,Land Rover,The Purist,0,0,1,0,3,0,1,0,0,1,The Dash Fit,42,143,163,402,0,Land Rover Defender 110,Family_WorkMom
2023,Tesla,The Purist,0,0,1,1,4,1,0,0,0,0,The Dash Fit,58,108,159,185,0,Tesla Model 3 Long Range,Family_WorkMom
2023,Porsche,The Purist,1,1,1,0,5,1,0,0,1,0,The Rigidity,74,148,178,420,1,Porsche Macan GTS,Elite_Enthusiast
2020,Audi,The Functionalist,1,1,0,1,5,1,0,0,1,0,The Rigidity,118,194,257,452,1,Audi R8 V10,Elite_Enthusiast
2020,Jeep,The Functionalist,1,1,1,1,3,1,1,1,0,1,The Footprint,44,115,320,419,0,Jeep Grand Cherokee L,Family_WorkMom
2019,Kia,The Functionalist,1,1,0,1,4,0,1,1,0,1,The Rigidity,38,52,124,144,0,Kia Seltos HTX,Practical_Upgrader
2018,Audi,The Functionalist,0,1,1,1,2,1,1,1,0,0,The Dash Fit,49,134,259,377,0,Audi RS6 Avant,Family_WorkMom
2024,Tesla,The Purist,1,0,1,0,3,0,1,1,0,0,The Dash Fit,60,102,241,266,0,Tesla Model Y Performance,Family_WorkMom
2023,Audi,The Enthusiast/Builder,0,1,1,0,5,1,0,0,1,1,The Footprint,51,136,257,282,1,Audi Q8 e-tron,Tech_Purist
2022,Tesla,The Functionalist,1,0,0,1,4,1,0,1,0,0,The Footprint,64,144,194,500,1,Tesla Model Y Performance,Family_WorkMom
2019,Maruti Suzuki,The Functionalist,1,1,1,1,3,0,1,0,0,1,The Rigidity,26,54,88,145,0,Maruti Ertiga VXI,Practical_Upgrader
2021,Kia,The Functionalist,1,0,0,0,2,1,1,0,0,0,The Dash Fit,30,40,84,144,0,Kia Carens,Practical_Upgrader
2021,Jeep,The Enthusiast/Builder,0,1,1,1,4,1,1,0,1,1,The Footprint,83,200,319,344,0,Jeep Wrangler Rubicon 4xe,Family_WorkMom
2023,BMW,The Functionalist,0,0,1,1,4,0,0,1,0,1,The Footprint,42,103,320,345,0,BMW X5 M,Family_WorkMom
2022,Land Rover,The Functionalist,1,0,0,1,3,1,1,1,0,0,The Footprint,34,92,261,380,0,Land Rover Defender 110,Family_WorkMom
2020,Jeep,The Functionalist,1,1,0,0,5,0,1,1,0,1,The Footprint,50,139,159,309,1,Jeep Gladiator Mojave,Family_WorkMom
2025,Mercedes-Benz,The Enthusiast/Builder,1,0,0,1,1,1,1,0,1,1,The Dash Fit,116,136,232,262,0,Mercedes EQS 580,Elite_Enthusiast
2025,BMW,The Enthusiast/Builder,0,1,0,1,3,1,1,0,0,0,The Rigidity,107,127,263,437,1,BMW X5 M,Tech_Purist
2023,Land Rover,The Purist,0,0,1,1,5,1,1,1,0,1,The Dash Fit,92,107,165,317,0,Land Rover Defender 110,Family_WorkMom
2025,BMW,The Purist,1,1,0,0,4,1,1,1,1,1,The Rigidity,132,155,224,280,1,BMW 5 Series xDrive,Elite_Enthusiast
2024,Mercedes-Benz,The Functionalist,1,1,0,0,3,1,1,0,0,0,The Dash Fit,35,148,179,241,1,Mercedes GLE 53 AMG,Family_WorkMom
2020,Honda,The Functionalist,1,0,1,0,3,1,0,1,0,1,The Rigidity,26,61,92,136,0,Honda CR-V Sport,Practical_Upgrader
2025,Porsche,The Enthusiast/Builder,1,1,0,0,5,1,0,0,1,0,The Footprint,134,260,290,491,1,Porsche Cayman 718 GT4,Elite_Enthusiast
2024,Audi,The Purist,1,0,0,1,3,1,0,0,1,0,The Rigidity,71,152,327,418,1,Audi RS6 Avant,Elite_Enthusiast
2023,Mercedes-Benz,The Functionalist,0,0,1,0,5,1,1,1,1,1,The Dash Fit,59,139,222,247,1,Mercedes GLE 53 AMG,Family_WorkMom
2019,Toyota,The Functionalist,1,1,0,1,4,1,1,0,0,1,The Footprint,27,39,77,267,0,Toyota Corolla Cross,Practical_Upgrader
2024,Porsche,The Enthusiast/Builder,1,1,0,1,3,1,0,0,1,0,The Footprint,70,114,328,431,1,Porsche Cayman 718 GT4,Elite_Enthusiast
2022,Tesla,The Functionalist,1,1,1,0,4,0,0,1,0,1,The Interaction,62,204,288,313,1,Tesla Model S Plaid,Tech_Purist
2025,Tesla,The Purist,1,1,1,0,3,1,1,0,0,0,The Rigidity,58,115,318,343,1,Tesla Model 3 Long Range,Tech_Purist
2025,BMW,The Purist,0,1,0,0,4,1,1,0,1,1,The Footprint,60,161,191,700,1,BMW X5 M,Elite_Enthusiast
2020,Audi,The Purist,1,1,1,0,4,1,1,0,0,1,The Footprint,49,127,264,334,1,Audi Q8 e-tron,Tech_Purist
2024,BMW,The Functionalist,0,0,1,1,5,0,1,1,0,1,The Dash Fit,49,127,320,390,0,BMW M4 CSL,Family_WorkMom
2021,BMW,The Purist,0,1,0,0,2,0,0,0,1,0,The Footprint,103,123,269,382,0,BMW M4 CSL,Tech_Purist
2023,Tesla,The Purist,1,0,0,1,3,1,0,1,1,1,The Interaction,74,202,229,323,1,Tesla Model 3 Long Range,Tech_Purist
2023,Mercedes-Benz,The Functionalist,0,1,1,1,4,1,1,1,0,1,The Dash Fit,65,80,184,285,1,Mercedes EQS 580,Family_WorkMom
2021,BMW,The Enthusiast/Builder,1,1,0,0,4,0,1,0,1,0,The Rigidity,68,225,255,428,1,BMW 5 Series xDrive,Elite_Enthusiast
2021,Nissan,The Functionalist,1,1,0,1,3,0,1,1,0,1,The Rigidity,36,90,105,196,0,Nissan X-Trail,Practical_Upgrader
2024,BMW,The Enthusiast/Builder,0,1,1,0,2,0,1,1,1,1,The Dash Fit,69,114,136,180,0,BMW X5 M,Family_WorkMom
2023,Porsche,The Enthusiast/Builder,1,1,1,0,5,1,0,0,1,0,The Footprint,92,139,393,557,1,Porsche Taycan Turbo,Elite_Enthusiast
2019,Audi,The Purist,1,1,0,0,4,0,0,0,1,0,The Rigidity,85,115,348,378,1,Audi Q8 e-tron,Elite_Enthusiast
2022,Tesla,The Purist,0,1,0,0,2,1,0,0,0,0,The Footprint,53,100,234,518,0,Tesla Model X,Tech_Purist
2024,Audi,The Purist,0,1,0,0,5,1,0,1,0,0,The Interaction,66,117,154,430,1,Audi RS6 Avant,Tech_Purist
2026,Porsche,The Enthusiast/Builder,0,1,0,1,5,0,0,0,0,0,The Rigidity,71,169,268,573,1,Porsche Macan GTS,Elite_Enthusiast
2023,Tesla,The Functionalist,0,1,1,1,4,1,1,0,0,1,The Footprint,51,107,237,500,1,Tesla Model 3 Long Range,Family_WorkMom
2022,Mercedes-Benz,The Enthusiast/Builder,0,1,1,1,4,1,0,0,0,1,The Footprint,117,159,299,380,1,Mercedes EQS 580,Elite_Enthusiast
2024,Tesla,The Purist,1,1,0,0,4,1,0,1,1,1,The Dash Fit,50,113,194,444,1,Tesla Model S Plaid,Tech_Purist
2023,Mercedes-Benz,The Enthusiast/Builder,0,0,0,0,4,1,0,0,1,0,The Footprint,65,244,374,448,1,Mercedes EQS 580,Elite_Enthusiast
2025,Tesla,The Purist,1,0,1,0,3,1,0,0,0,0,The Footprint,66,113,265,505,1,Tesla Model S Plaid,Tech_Purist
2019,BMW,The Purist,1,1,1,1,4,0,1,0,0,1,The Footprint,42,64,256,334,0,BMW M3 Competition,Family_WorkMom
2020,Kia,The Purist,1,0,0,1,1,1,0,1,0,1,The Dash Fit,23,48,76,119,0,Kia Carens,Practical_Upgrader
2023,BMW,The Purist,1,0,0,1,2,1,1,0,1,0,The Rigidity,81,151,245,355,1,BMW 5 Series xDrive,Elite_Enthusiast
2026,Land Rover,The Functionalist,0,1,0,1,1,1,1,1,0,1,The Dash Fit,50,116,179,448,0,Land Rover Defender 110,Family_WorkMom
